61771414,nomi半岛）海景设计民宿海景露台大床A  ,,,"厦门集美区集美街道 鳌园路41(白房子) , 厦门 ","('24.565857335345957', '118.10521355810641')",,,0,0,0,,,,,,0.0,0.0,0.0,0.0,"['自动取款机', '电梯', '吸烟区', '会议室', '暖气', '免费洗漱用品', '电热水壶', '空调', '免费有线上网', '浴缸', '拖鞋', '吹风机', '免费wifi', '独立卫浴', '淋浴房', '行李寄存', '不可携带宠物', '仅中国大陆地区客人', '多类型餐厅']"
10105213,厦门蓝屿海景民宿  ,2,其它类型,"厦门市思明区黄厝溪头下36号 , 厦门 ","('24.428791', '118.14299')",4.8,21,20,0,4,,,5,5,9,4.6,4.8,4.9,4.6,"['无泳池', '前台贵重物品保险柜', '公共区域免费wifi', '无餐厅', '大堂吧', '吸烟区', '24小时前台', '无停车场', '免费洗漱用品', '24小时热水', '无电话', '电热水壶', '空调', '拖鞋', '吹风机', '免费wifi', '独立卫浴', '淋浴房', '行李寄存', '不可携带宠物', '仅中国大陆地区客人', '24小时客房服务']"
51152143,厦门Ciao&middot;如初民宿（曾厝垵店）  ,2,其它类型,"环岛南路曾厝垵472号之二，近海边，近厦大。 , 厦门 ","('24.428941', '118.12576')",4.9,932,904,5,192,800,38.0,7,2,24,4.8,4.8,4.9,4.8,"['无泳池', '公共区域免费wifi', '无餐厅', '24小时前台', '无停车场', '24小时热水', '无电话', '备品床具', '电热水壶', '空调', '衣柜', '吹风机', '电子秤', '茶具', '免费洗漱用品', 'USB充电接口', '拖鞋', '遮光窗帘', '免费wifi', '淋浴房', '行李寄存', '不可携带宠物', '自行车出租服务', '仅中国大陆地区客人', '票务服务', '叫醒服务']"
67796929,厦门天空民宿  ,,,"都市港湾 , 厦门 ","('24.486385923070962', '118.0818663651551')",,,0,0,0,,,,,,0.0,0.0,0.0,0.0,"['电梯', '暖气', '小冰箱', '洗衣机', '电热水壶', '空调', '拖鞋', '免费wifi', '全套厨房', '电视', '不可携带宠物']"
57808349,厦门纯色民宿  ,2,其它类型,"厦门思明区曾厝垵北二路前田17-1号 , 厦门 ","('24.434628738627698', '118.11779731230358')",,,0,0,0,,,,,,,,,,
55592001,曾厝垵时光漫歇民宿  ,2,其它类型,"曾厝垵村曾厝垵社271号 , 厦门 ","('24.427296', '118.126473')",4.9,20,19,0,4,,,5,5,12,4.9,4.9,4.9,4.9,"['无泳池', '无餐厅', '24小时前台', '收费停车场', '免费洗漱用品', '24小时热水', '无电话', '电热水壶', '空调', '免费有线上网', '拖鞋', '吹风机', '遮光窗帘', '免费wifi', '独立卫浴', '电视', '行李寄存', '洗衣服务', '不可携带宠物', '仅中国大陆地区客人', '24小时客房服务', '票务服务', '叫醒服务']"
72928317,白书&middot;曾厝垵D1景区内Loft套房，7分钟海边，网红设计师民宿...  ,,,"福建厦门思明曾厝垵475号 , 厦门 ","('24.426809433464193', '118.1265007275752')",,,0,0,0,446,50.0,1,,,0.0,0.0,0.0,0.0,"['收费停车场', '行李寄存']"
72698108,厦门黄厝海滨民宿海滨大床房  ,,,"福建厦门思明黄厝海滨客栈80号 , 厦门 ","('24.438432764927594', '118.15093439534667')",,,0,0,0,,,2,,,0.0,0.0,0.0,0.0,[]
72667229,设计师大床房ins高人气海边民宿曾厝垵  ,,,"福建厦门思明曾厝垵后厝90号 , 厦门 ","('24.437586096794202', '118.11738780563935')",,,0,0,0,150,15.0,2,,,0.0,0.0,0.0,0.0,[]
55363244,【海筑民宿】近机场五缘湾帆船码头投影房  ,,,"厦门思明区大唐五缘YOHO(穆厝路9号) , 厦门 ","('24.513309973107322', '118.15977234146852')",,,0,0,0,,,,,,0.0,0.0,0.0,0.0,"['自动取款机', '电梯', '会议室', '室外游泳池', '小冰箱', '免费洗漱用品', '洗衣机', '24小时热水', '电热水壶', '空调', '免费有线上网', '拖鞋', '吹风机', '免费wifi', '独立卫浴', '淋浴房', '不可携带宠物', '多种类餐厅']"
